id,label,comment,ancestors,supertypes,subtypes,properties
Courthouse,Courthouse,A courthouse.,Thing Place CivicStructure GovernmentBuilding,GovernmentBuilding,,
PerformingArtsTheater,Performing Arts Theater,A theatre or other performing art center.,Thing Place CivicStructure,CivicStructure,,
Festival,Festival,Event type: Festival.,Thing Event,Event,,
Recipe,Recipe,A recipe.,Thing CreativeWork,CreativeWork,,cookTime cookingMethod ingredients nutrition prepTime recipeCategory recipeCuisine recipeInstructions recipeYield totalTime
Hospital,Hospital,A hospital.,Thing Organization LocalBusiness MedicalOrganization,CivicStructure MedicalOrganization EmergencyService,,
NGO,NGO,Organization: Non-governmental Organization.,Thing Organization,Organization,,
Mosque,Mosque,A mosque.,Thing Place CivicStructure PlaceOfWorship,PlaceOfWorship,,
WPSideBar,WP Side Bar,A sidebar section of the page.,Thing CreativeWork WebPageElement,WebPageElement,,
Enumeration,Enumeration,"Lists or enumerations—for example, a list of cuisines or music genres, etc.",Thing Intangible,Intangible,BookFormatType ItemAvailability OfferItemCondition,
Pharmacy,Pharmacy,A pharmacy or drugstore.,Thing Organization LocalBusiness MedicalOrganization,MedicalOrganization,,
EducationEvent,Education Event,Event type: Education event.,Thing Event,Event,,
State,State,A state or province.,Thing Place AdministrativeArea,AdministrativeArea,,
BikeStore,Bike Store,A bike store.,Thing Organization LocalBusiness Store,Store,,
Electrician,Electrician,An electrician.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness ProfessionalService,,
PetStore,Pet Store,A pet store.,Thing Organization LocalBusiness Store,Store,,
EmploymentAgency,Employment Agency,An employment agency.,Thing Organization LocalBusiness,LocalBusiness,,
TVEpisode,TV Episode,An episode of a TV series or season.,Thing CreativeWork,CreativeWork,,actors director episodeNumber musicBy partOfSeason partOfTVSeries producer productionCompany
ItemPage,Item Page,"A page devoted to a single item, such as a particular product or hotel.",Thing CreativeWork WebPage,WebPage,,
Locksmith,Locksmith,A locksmith.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness ProfessionalService,,
GolfCourse,Golf Course,A golf course.,Thing Organization LocalBusiness SportsActivityLocation,SportsActivityLocation,,
AutoWash,Auto Wash,A car wash business.,Thing Organization LocalBusiness AutomotiveBusiness,AutomotiveBusiness,,
AggregateOffer,Aggregate Offer,"When a single product that has different offers (for example, the same pair of shoes is offered by different merchants), then AggregateOffer can be used.",Thing Intangible Offer,Offer,,highPrice lowPrice offerCount
RecyclingCenter,Recycling Center,A recycling center.,Thing Organization LocalBusiness,LocalBusiness,,
SingleFamilyResidence,Single Family Residence,Residence type: Single-family home.,Thing Place Residence,Residence,,
Park,Park,A park.,Thing Place CivicStructure,CivicStructure,,
ClothingStore,Clothing Store,A clothing store.,Thing Organization LocalBusiness Store,Store,,
StructuredValue,Structured Value,"Structured values are strings—for example, addresses—that have certain constraints on their structure.",Thing Intangible,Intangible,ContactPoint GeoCoordinates NutritionInformation,
